Country ,Continent,Total_Time_Spent_on_Devices,Internet_via_Mobiles,Internet_via_Computer,%_of_Population_Using_the_Internet,Mobile_Internet_Speed(Mbps),Fixed_Internet_Speed(Mbps),Streaming_TV(%),Playing_Video_Games(%),Time_Spent_using_game_console,Daily_Time_Spent_Using_SocialMedia,Number_of_SocialMedia_Accounts,Listening_to_Podcasts(%),Time_Spent_Listening_to_Podcasts,Listen_to_Streaming_MusicServices(%),Time_Spent_Listening_to_MusicStreaming_services,Mobile_Internet_Share,Computer_Internet_Share,SocialMedia_Time_Ratio,Gaming_Time_Ratio,Streaming_Time_Ratio,Podcast_Time_Ratio,MusicStreaming_Time_Ratio,Digital_Dependency_Index,Connectivity_Structure_Index,Engagement_Penetration_Index,Exposure_Risk_Score
Malaysia,Asia,9.17,4.82,4.35,89.6,24.56,74.84,95.5,90.1,1.22,3.03,8.2,15.4,0.65,40.2,1.6,0.053794643,0.048549107,0.3304253,0.13304253,10.41439477,0.070883315,0.174482007,4.9335,35.87070313,77.29,3.296401309
Mexico,North America,8.92,4.62,4.3,74,22.21,36.54,97.9,91.2,1.52,3.33,7.9,34.5,1.07,49.4,2.22,0.062432432,0.058108108,0.373318386,0.170403587,10.97533632,0.119955157,0.248878924,5.0355,29.63616216,81.34,3.493049327
Netherlands,Europe,5.18,2.37,2.82,96,94.93,96.82,85.2,74.3,0.77,1.35,5.6,15.1,0.38,30.2,1.05,0.0246875,0.029375,0.260617761,0.148648649,16.44787645,0.073359073,0.202702703,2.7025,38.41621875,65.43,5.083204633
New Zealand,Oceania,6.38,2.98,3.4,94.9,46.77,94.67,95.3,78.2,0.9,2.08,6.3,18.1,0.82,40,1.82,0.031401475,0.035827187,0.326018809,0.141065831,14.93730408,0.128526646,0.285266458,3.488,37.9801686,73.58,4.653918495
Philippines,Asia,10.45,5.78,4.67,68,18.68,46.44,98.3,96.4,1.57,4.1,8.5,21.9,0.9,49.6,2.2,0.085,0.068676471,0.392344498,0.150239234,9.406698565,0.086124402,0.210526316,5.879,27.24610294,83.12,3.024019139
Poland,Europe,6.67,2.97,3.7,87,37.79,85.3,91.8,80.7,0.72,1.82,6,19.6,0.62,21.5,1.27,0.034137931,0.042528736,0.272863568,0.107946027,13.76311844,0.092953523,0.190404798,3.4525,34.823,67.38,4.270464768
Portugal,Europe,7.93,3.57,4.37,85,45.77,94.84,84.7,81.2,0.63,2.47,6.7,24.6,0.65,31.2,1.18,0.042,0.051411765,0.31147541,0.079445145,10.68095839,0.081967213,0.148802018,4.1305,34.02802353,67.6,3.352711223
Romania,Europe,7.15,3.68,3.47,88,33.76,124.36,91.4,84.3,0.63,2.32,6.5,20.6,0.7,21.7,1.18,0.041818182,0.039431818,0.324475524,0.088111888,12.78321678,0.097902098,0.165034965,3.776,35.224375,68.36,3.991188811
Russia,Europe,7.83,3.65,4.18,89,17.84,61.65,84.5,78.6,0.5,2.45,6.1,8,0.38,16.9,0.87,0.041011236,0.046966292,0.312899106,0.06385696,10.79182631,0.04853129,0.111111111,4.0295,35.62639326,62.45,3.381864623
Saudi Arabia,Asia,8.08,4.58,3.5,97.9,91.06,80.39,95.9,91.4,1.88,3.4,7.7,18.4,1.15,21,1.5,0.046782431,0.035750766,0.420792079,0.232673267,11.86881188,0.142326733,0.185643564,4.7605,39.18475996,72.08,3.798762376
Singapore,Asia,7.47,3.63,3.83,92,63.41,184.65,91.5,84.5,1.18,2.52,7.5,16.5,0.93,35.8,1.72,0.039456522,0.041630435,0.337349398,0.157965194,12.24899598,0.124497992,0.230254351,4.1125,36.82432609,72.69,3.857028112
South Africa,Africa,10.77,5.15,5.62,68.2,30.54,29.73,96.6,90.2,1.05,3.72,8,21.8,0.77,49.4,2.2,0.075513196,0.082404692,0.3454039,0.097493036,8.969359331,0.071494893,0.204271123,5.7825,27.32737537,80.52,2.85821727
South Korea,Asia,5.48,2.77,2.72,98,104.98,98.86,84.2,78.1,0.58,1.22,4.9,12.5,0.45,42.1,0.92,0.028265306,0.027755102,0.222627737,0.105839416,15.3649635,0.082116788,0.167883212,2.7425,39.21680612,69.74,4.730291971
Spain,Europe,6.07,2.8,3.27,94,34.3,131.46,90.7,80.8,0.9,1.88,6.2,21.3,0.58,38.4,1.23,0.029787234,0.034787234,0.309719934,0.148270181,14.94233937,0.095551895,0.202635914,3.2625,37.61937234,72.04,4.65107084
Sweden,Europe,6.35,2.92,3.43,97,59.61,98.69,95.3,74.4,0.73,2.03,6.6,28.9,0.82,44.3,1.68,0.030103093,0.035360825,0.319685039,0.11496063,15.00787402,0.129133858,0.264566929,3.42,38.81963918,73.73,4.664724409
Switzerland,Europe,5.75,2.48,3.27,98,78.57,109.65,89,77,0.7,1.55,5.8,15.7,0.65,35.1,1.32,0.025306122,0.033367347,0.269565217,0.12173913,15.47826087,0.113043478,0.229565217,3.0035,39.21760204,69.23,4.787826087
Taiwan,Asia,8.12,4.2,3.92,91,54,94.63,94.8,91.6,0.88,2.07,6.5,15.9,0.63,43.6,1.33,0.046153846,0.043076923,0.254926108,0.108374384,11.67487685,0.077586207,0.163793103,4.143,36.42676923,78.48,3.636945813
Thailand,Asia,9.1,5.47,3.63,77.8,31.91,171.37,97.1,94.7,1.97,2.98,7.6,19.1,1.2,37.3,1.88,0.070308483,0.046658098,0.327472527,0.216483516,10.67032967,0.131868132,0.206593407,5.082,31.15508997,78.44,3.397032967
Turkey,Asia,8,4.27,3.73,82,30.97,25.67,96.4,91.5,1.1,2.98,8.1,17.8,0.82,51.3,1.77,0.052073171,0.045487805,0.3725,0.1375,12.05,0.1025,0.22125,4.4435,32.82926829,81.4,3.80525
United Arab Emirates,Asia,8.6,4.58,4.02,99,136.42,103.71,93.9,90.3,1.48,3.07,7.8,15.4,1.07,29.9,1.57,0.046262626,0.040606061,0.356976744,0.172093023,10.91860465,0.124418605,0.18255814,4.789,39.62606061,73.62,3.47
United Kingdom,Europe,6.2,2.68,3.52,98,47,58.8,92.6,74.9,1.03,1.8,6.3,20.3,0.67,36.6,1.28,0.027346939,0.035918367,0.290322581,0.166129032,14.93548387,0.108064516,0.206451613,3.3235,39.21897959,70.49,4.646612903
United States Of America,North America,7.07,3.5,3.57,92,53.31,134.1,91.6,80.9,1.45,2.23,6.6,23.5,0.97,44.9,1.93,0.038043478,0.038804348,0.315417256,0.205091938,12.95615276,0.137199434,0.272984441,3.932,36.82305435,74.38,4.074540311
Vietnam,Asia,6.63,3.53,3.1,73.2,35.14,68.5,94.5,93.4,1.2,2.47,7.4,14.1,0.73,36.9,1.2,0.048224044,0.042349727,0.37254902,0.180995475,14.25339367,0.110105581,0.180995475,3.7295,29.30717213,76.89,4.47933635
